分拣中心,日期,货量
SC1,2024/12/1,49919
SC1,2024/12/2,39160
SC1,2024/12/3,36931
SC1,2024/12/4,40268
SC1,2024/12/5,41219
SC1,2024/12/6,42724
SC1,2024/12/7,43689
SC1,2024/12/8,42970
SC1,2024/12/9,41399
SC1,2024/12/10,40884
SC1,2024/12/11,49919
SC1,2024/12/12,39160
SC1,2024/12/13,36931
SC1,2024/12/14,40268
SC1,2024/12/15,41219
SC1,2024/12/16,42724
SC1,2024/12/17,43689
SC1,2024/12/18,42970
SC1,2024/12/19,41399
SC1,2024/12/20,40884
SC1,2024/12/21,49919
SC1,2024/12/22,49919
SC1,2024/12/23,36931
SC1,2024/12/24,40268
SC1,2024/12/25,41219
SC1,2024/12/26,42724
SC1,2024/12/27,43689
SC1,2024/12/28,42970
SC1,2024/12/29,41399
SC1,2024/12/30,40884
SC10,2024/12/1,47824
SC10,2024/12/2,38390
SC10,2024/12/3,39047
SC10,2024/12/4,39242
SC10,2024/12/5,39525
SC10,2024/12/6,39385
SC10,2024/12/7,38594
SC10,2024/12/8,37921
SC10,2024/12/9,37652
SC10,2024/12/10,37890
SC10,2024/12/11,47824
SC10,2024/12/12,38390
SC10,2024/12/13,39047
SC10,2024/12/14,39242
SC10,2024/12/15,39525
SC10,2024/12/16,39385
SC10,2024/12/17,38594
SC10,2024/12/18,37921
SC10,2024/12/19,37652
SC10,2024/12/20,37890
SC10,2024/12/21,47824
SC10,2024/12/22,47824
SC10,2024/12/23,39047
SC10,2024/12/24,39242
SC10,2024/12/25,39525
SC10,2024/12/26,39385
SC10,2024/12/27,38594
SC10,2024/12/28,37921
SC10,2024/12/29,37652
SC10,2024/12/30,37890
SC12,2024/12/1,9327
SC12,2024/12/2,3613
SC12,2024/12/3,3579
SC12,2024/12/4,3789
SC12,2024/12/5,3766
SC12,2024/12/6,3752
SC12,2024/12/7,3837
SC12,2024/12/8,3897
SC12,2024/12/9,3846
SC12,2024/12/10,3916
SC12,2024/12/11,9327
SC12,2024/12/12,3613
SC12,2024/12/13,3579
SC12,2024/12/14,3789
SC12,2024/12/15,3766
SC12,2024/12/16,3752
SC12,2024/12/17,3837
SC12,2024/12/18,3897
SC12,2024/12/19,3846
SC12,2024/12/20,3916
SC12,2024/12/21,9327
SC12,2024/12/22,9327
SC12,2024/12/23,3579
SC12,2024/12/24,3789
SC12,2024/12/25,3766
SC12,2024/12/26,3752
SC12,2024/12/27,3837
SC12,2024/12/28,3897
SC12,2024/12/29,3846
SC12,2024/12/30,3916
SC14,2024/12/1,1532
SC14,2024/12/2,1422
SC14,2024/12/3,1462
SC14,2024/12/4,1417
SC14,2024/12/5,1442
SC14,2024/12/6,1482
SC14,2024/12/7,1447
SC14,2024/12/8,1496
SC14,2024/12/9,1542
SC14,2024/12/10,1555
SC14,2024/12/11,1532
SC14,2024/12/12,1422
SC14,2024/12/13,1462
SC14,2024/12/14,1417
SC14,2024/12/15,1442
SC14,2024/12/16,1482
SC14,2024/12/17,1447
SC14,2024/12/18,1496
SC14,2024/12/19,1542
SC14,2024/12/20,1555
SC14,2024/12/21,1532
SC14,2024/12/22,1532
SC14,2024/12/23,1462
SC14,2024/12/24,1417
SC14,2024/12/25,1442
SC14,2024/12/26,1482
SC14,2024/12/27,1447
SC14,2024/12/28,1496
SC14,2024/12/29,1542
SC14,2024/12/30,1555
SC15,2024/12/1,5163
SC15,2024/12/2,4516
SC15,2024/12/3,4592
SC15,2024/12/4,4840
SC15,2024/12/5,4750
SC15,2024/12/6,4513
SC15,2024/12/7,4601
SC15,2024/12/8,4561
SC15,2024/12/9,4618
SC15,2024/12/10,4553
SC15,2024/12/11,5163
SC15,2024/12/12,4516
SC15,2024/12/13,4592
SC15,2024/12/14,4840
SC15,2024/12/15,4750
SC15,2024/12/16,4513
SC15,2024/12/17,4601
SC15,2024/12/18,4561
SC15,2024/12/19,4618
SC15,2024/12/20,4553
SC15,2024/12/21,5163
SC15,2024/12/22,5163
SC15,2024/12/23,4592
SC15,2024/12/24,4840
SC15,2024/12/25,4750
SC15,2024/12/26,4513
SC15,2024/12/27,4601
SC15,2024/12/28,4561
SC15,2024/12/29,4618
SC15,2024/12/30,4553
SC16,2024/12/1,1363
SC16,2024/12/2,1861
SC16,2024/12/3,1809
SC16,2024/12/4,1747
SC16,2024/12/5,1950
SC16,2024/12/6,1966
SC16,2024/12/7,2005
SC16,2024/12/8,2045
SC16,2024/12/9,2029
SC16,2024/12/10,2009
SC16,2024/12/11,1363
SC16,2024/12/12,1861
SC16,2024/12/13,1809
SC16,2024/12/14,1747
SC16,2024/12/15,1950
SC16,2024/12/16,1966
SC16,2024/12/17,2005
SC16,2024/12/18,2045
SC16,2024/12/19,2029
SC16,2024/12/20,2009
SC16,2024/12/21,1363
SC16,2024/12/22,1363
SC16,2024/12/23,1809
SC16,2024/12/24,1747
