分拣中心,日期,货量
SC48,2023/9/5,723
SC48,2023/10/24,2092
SC48,2023/8/5,754
SC48,2023/11/16,754
SC48,2023/11/9,771
SC48,2023/10/29,692
SC48,2023/9/8,819
SC48,2023/10/19,643
SC48,2023/10/23,590
SC48,2023/8/20,648
SC48,2023/8/30,683
SC48,2023/11/1,3313
SC48,2023/8/22,693
SC48,2023/8/21,714
SC48,2023/11/15,692
SC48,2023/9/29,844
SC48,2023/11/8,784
SC48,2023/8/10,698
SC48,2023/10/27,835
SC48,2023/11/28,613
SC48,2023/10/5,775
SC48,2023/8/16,690
SC48,2023/8/2,697
SC48,2023/11/11,3414
SC48,2023/11/17,781
SC48,2023/8/7,683
SC48,2023/10/2,761
SC48,2023/8/23,704
SC48,2023/10/15,690
SC48,2023/11/2,1187
SC48,2023/8/26,716
SC48,2023/8/24,715
SC48,2023/11/27,637
SC48,2023/9/20,725
SC48,2023/11/20,690
SC48,2023/8/4,673
SC48,2023/8/27,704
SC48,2023/10/14,726
SC48,2023/8/9,737
SC48,2023/11/22,621
SC48,2023/8/29,704
SC48,2023/10/26,828
SC48,2023/11/3,940
SC48,2023/9/14,743
SC48,2023/9/9,824
SC48,2023/10/10,737
SC48,2023/8/19,692
SC48,2023/9/11,753
SC48,2023/10/7,786
SC48,2023/10/17,739
SC48,2023/9/3,796
SC48,2023/10/21,674
SC48,2023/8/12,696
SC48,2023/10/20,646
SC48,2023/8/25,787
SC48,2023/8/8,649
SC48,2023/9/15,730
SC48,2023/9/17,715
SC48,2023/9/22,713
SC48,2023/8/14,659
SC48,2023/9/12,715
SC48,2023/10/6,730
SC48,2023/10/13,738
SC48,2023/11/26,583
SC48,2023/8/28,716
SC48,2023/8/11,774
SC48,2023/9/10,734
SC48,2023/10/12,731
SC48,2023/11/7,990
SC48,2023/11/30,596
SC48,2023/11/24,624
SC48,2023/9/28,798
SC48,2023/9/26,842
SC48,2023/8/6,664
SC48,2023/8/3,657
SC48,2023/8/15,704
SC48,2023/9/18,751
SC48,2023/10/30,675
SC48,2023/9/7,824
SC48,2023/8/17,658
SC48,2023/9/16,766
SC48,2023/10/16,707
SC48,2023/9/21,708
SC48,2023/9/1,982
SC48,2023/11/18,795
SC48,2023/10/8,820
SC48,2023/9/6,722
SC48,2023/11/14,712
SC48,2023/8/13,599
SC48,2023/11/21,628
SC48,2023/9/30,913
SC48,2023/9/27,818
SC48,2023/10/3,707
SC48,2023/11/12,1776
SC48,2023/8/31,691
SC48,2023/10/28,748
SC48,2023/11/25,651
SC48,2023/9/24,686
SC48,2023/9/23,724
SC48,2023/9/2,896
SC48,2023/9/19,706
SC48,2023/11/6,811
SC48,2023/10/25,1001
SC48,2023/10/9,719
SC48,2023/10/22,550
SC48,2023/10/31,588
SC48,2023/10/18,665
SC48,2023/11/23,621
SC48,2023/11/13,780
SC48,2023/11/5,769
SC48,2023/10/4,741
SC48,2023/11/10,663
SC48,2023/11/4,1005
SC48,2023/9/13,706
SC48,2023/11/29,597
SC48,2023/10/1,847
SC48,2023/10/11,754
SC48,2023/9/25,785
SC48,2023/8/1,685
SC48,2023/8/18,710
SC48,2023/9/4,807
SC48,2023/11/19,601
SC61,2023/10/23,759
