分拣中心,日期,货量
SC1,2023/8/1,39517
SC1,2023/8/2,40008
SC1,2023/8/3,38477
SC1,2023/8/4,35773
SC1,2023/8/5,31876
SC1,2023/8/6,31319
SC1,2023/8/7,29584
SC1,2023/8/8,33034
SC1,2023/8/9,34242
SC1,2023/8/10,34123
SC1,2023/8/11,33589
SC1,2023/8/12,33793
SC1,2023/8/13,31308
SC1,2023/8/14,31785
SC1,2023/8/15,34678
SC1,2023/8/16,35694
SC1,2023/8/17,36006
SC1,2023/8/18,36039
SC1,2023/8/19,37610
SC1,2023/8/20,34386
SC1,2023/8/21,35922
SC1,2023/8/22,36408
SC1,2023/8/23,36657
SC1,2023/8/24,37910
SC1,2023/8/25,39080
SC1,2023/8/26,37218
SC1,2023/8/27,36814
SC1,2023/8/28,36179
SC1,2023/8/29,38688
SC1,2023/8/30,40087
SC1,2023/8/31,40664
SC1,2023/9/1,44955
SC1,2023/9/2,45716
SC1,2023/9/3,40073
SC1,2023/9/4,38701
SC1,2023/9/5,39932
SC1,2023/9/6,43154
SC1,2023/9/7,46353
SC1,2023/9/8,42481
SC1,2023/9/9,41695
SC1,2023/9/10,39697
SC1,2023/9/11,38400
SC1,2023/9/12,39122
SC1,2023/9/13,43296
SC1,2023/9/14,43579
SC1,2023/9/15,42150
SC1,2023/9/16,43131
SC1,2023/9/17,40851
SC1,2023/9/18,41287
SC1,2023/9/19,43304
SC1,2023/9/20,45579
SC1,2023/9/21,47715
SC1,2023/9/22,47240
SC1,2023/9/23,47051
SC1,2023/9/24,48767
SC1,2023/9/25,45919
SC1,2023/9/26,49085
SC1,2023/9/27,47858
SC1,2023/9/28,42365
SC1,2023/9/29,35506
SC1,2023/9/30,31313
SC1,2023/10/1,30105
SC1,2023/10/2,26567
SC1,2023/10/3,27154
SC1,2023/10/4,27801
SC1,2023/10/5,32019
SC1,2023/10/6,32791
SC1,2023/10/7,37052
SC1,2023/10/8,41362
SC1,2023/10/9,38656
SC1,2023/10/10,38319
SC1,2023/10/11,39627
SC1,2023/10/12,41885
SC1,2023/10/13,41697
SC1,2023/10/14,39689
SC1,2023/10/15,38619
SC1,2023/10/16,36954
SC1,2023/10/17,40750
SC1,2023/10/18,43666
SC1,2023/10/19,42066
SC1,2023/10/20,49307
SC1,2023/10/21,43694
SC1,2023/10/22,39941
SC1,2023/10/23,42015
SC1,2023/10/24,69918
SC1,2023/10/25,61167
SC1,2023/10/26,55018
SC1,2023/10/27,55915
SC1,2023/10/28,53443
SC1,2023/10/29,48554
SC1,2023/10/30,44495
SC1,2023/10/31,49178
SC1,2023/11/1,102030
SC1,2023/11/2,87732
SC1,2023/11/3,69025
SC1,2023/11/4,61433
SC1,2023/11/5,56707
SC1,2023/11/6,57491
SC1,2023/11/7,57672
SC1,2023/11/8,62365
SC1,2023/11/9,58697
SC1,2023/11/10,57044
SC1,2023/11/11,107715
SC1,2023/11/12,99577
SC1,2023/11/13,73365
SC1,2023/11/14,58689
SC1,2023/11/15,53282
SC1,2023/11/16,51085
SC1,2023/11/17,50218
SC1,2023/11/18,46956
SC1,2023/11/19,43396
SC1,2023/11/20,42414
SC1,2023/11/21,45994
SC1,2023/11/22,45352
SC1,2023/11/23,45169
SC1,2023/11/24,44719
SC1,2023/11/25,44496
SC1,2023/11/26,42879
SC1,2023/11/27,41085
SC1,2023/11/28,44200
SC1,2023/11/29,45217
SC1,2023/11/30,45707
