日期,小时,分拣中心,货量
2023/12/1,1,SC1,3156
2023/12/1,2,SC1,3148
2023/12/1,3,SC1,3124
2023/12/1,4,SC1,3094
2023/12/1,5,SC1,2932
2023/12/1,6,SC1,2247
2023/12/1,7,SC1,395
2023/12/1,8,SC1,1331
2023/12/1,9,SC1,2063
2023/12/1,10,SC1,1752
2023/12/1,11,SC1,1587
2023/12/1,12,SC1,1874
2023/12/1,13,SC1,2439
2023/12/1,14,SC1,2193
2023/12/1,15,SC1,414
2023/12/1,16,SC1,715
2023/12/1,17,SC1,1112
2023/12/1,18,SC1,1135
2023/12/1,19,SC1,1281
2023/12/1,20,SC1,1990
2023/12/1,21,SC1,2753
2023/12/1,22,SC1,2751
2023/12/1,23,SC1,3046
2023/12/1,24,SC1,3134
2023/12/2,1,SC1,2473
2023/12/2,2,SC1,2466
2023/12/2,3,SC1,2447
2023/12/2,4,SC1,2424
2023/12/2,5,SC1,2297
2023/12/2,6,SC1,1761
2023/12/2,7,SC1,309
2023/12/2,8,SC1,1043
2023/12/2,9,SC1,1616
2023/12/2,10,SC1,1373
2023/12/2,11,SC1,1243
2023/12/2,12,SC1,1468
2023/12/2,13,SC1,1911
2023/12/2,14,SC1,1718
2023/12/2,15,SC1,324
2023/12/2,16,SC1,560
2023/12/2,17,SC1,871
2023/12/2,18,SC1,889
2023/12/2,19,SC1,1004
2023/12/2,20,SC1,1559
2023/12/2,21,SC1,2156
2023/12/2,22,SC1,2155
2023/12/2,23,SC1,2386
2023/12/2,24,SC1,2455
2023/12/3,1,SC1,2331
2023/12/3,2,SC1,2325
2023/12/3,3,SC1,2307
2023/12/3,4,SC1,2285
2023/12/3,5,SC1,2165
2023/12/3,6,SC1,1660
2023/12/3,7,SC1,292
2023/12/3,8,SC1,983
2023/12/3,9,SC1,1524
2023/12/3,10,SC1,1294
2023/12/3,11,SC1,1172
2023/12/3,12,SC1,1384
2023/12/3,13,SC1,1801
2023/12/3,14,SC1,1620
2023/12/3,15,SC1,306
2023/12/3,16,SC1,528
2023/12/3,17,SC1,821
2023/12/3,18,SC1,838
2023/12/3,19,SC1,946
2023/12/3,20,SC1,1469
2023/12/3,21,SC1,2033
2023/12/3,22,SC1,2032
2023/12/3,23,SC1,2249
2023/12/3,24,SC1,2314
2023/12/4,1,SC1,2543
2023/12/4,2,SC1,2537
2023/12/4,3,SC1,2517
2023/12/4,4,SC1,2493
2023/12/4,5,SC1,2362
2023/12/4,6,SC1,1811
2023/12/4,7,SC1,318
2023/12/4,8,SC1,1073
2023/12/4,9,SC1,1662
2023/12/4,10,SC1,1412
2023/12/4,11,SC1,1278
2023/12/4,12,SC1,1510
2023/12/4,13,SC1,1965
2023/12/4,14,SC1,1767
2023/12/4,15,SC1,333
2023/12/4,16,SC1,576
2023/12/4,17,SC1,896
2023/12/4,18,SC1,914
2023/12/4,19,SC1,1032
2023/12/4,20,SC1,1603
2023/12/4,21,SC1,2218
2023/12/4,22,SC1,2217
2023/12/4,23,SC1,2454
2023/12/4,24,SC1,2525
2023/12/5,1,SC1,2603
2023/12/5,2,SC1,2597
2023/12/5,3,SC1,2577
2023/12/5,4,SC1,2552
2023/12/5,5,SC1,2418
2023/12/5,6,SC1,1854
2023/12/5,7,SC1,326
2023/12/5,8,SC1,1098
2023/12/5,9,SC1,1702
2023/12/5,10,SC1,1445
2023/12/5,11,SC1,1309
2023/12/5,12,SC1,1546
2023/12/5,13,SC1,2012
2023/12/5,14,SC1,1809
2023/12/5,15,SC1,341
2023/12/5,16,SC1,590
2023/12/5,17,SC1,917
2023/12/5,18,SC1,936
2023/12/5,19,SC1,1057
2023/12/5,20,SC1,1641
2023/12/5,21,SC1,2270
2023/12/5,22,SC1,2269
2023/12/5,23,SC1,2512
2023/12/5,24,SC1,2585
2023/12/6,1,SC1,2699
2023/12/6,2,SC1,2692
2023/12/6,3,SC1,2672
2023/12/6,4,SC1,2646
2023/12/6,5,SC1,2507
2023/12/6,6,SC1,1922
2023/12/6,7,SC1,338
2023/12/6,8,SC1,1138
2023/12/6,9,SC1,1764
2023/12/6,10,SC1,1498
2023/12/6,11,SC1,1357
2023/12/6,12,SC1,1603
2023/12/6,13,SC1,2086
2023/12/6,14,SC1,1876
2023/12/6,15,SC1,354
2023/12/6,16,SC1,612
2023/12/6,17,SC1,950
2023/12/6,18,SC1,971
2023/12/6,19,SC1,1096
2023/12/6,20,SC1,1701
2023/12/6,21,SC1,2354
2023/12/6,22,SC1,2353
2023/12/6,23,SC1,2605
2023/12/6,24,SC1,2680
2023/12/7,1,SC1,2760
2023/12/7,2,SC1,2754
2023/12/7,3,SC1,2732
2023/12/7,4,SC1,2706
2023/12/7,5,SC1,2564
2023/12/7,6,SC1,1966
2023/12/7,7,SC1,345
2023/12/7,8,SC1,1164
2023/12/7,9,SC1,1804
2023/12/7,10,SC1,1533
2023/12/7,11,SC1,1388
2023/12/7,12,SC1,1639
2023/12/7,13,SC1,2133
2023/12/7,14,SC1,1918
2023/12/7,15,SC1,362
2023/12/7,16,SC1,625
2023/12/7,17,SC1,972
2023/12/7,18,SC1,993
2023/12/7,19,SC1,1121
2023/12/7,20,SC1,1740
2023/12/7,21,SC1,2407
2023/12/7,22,SC1,2406
2023/12/7,23,SC1,2664
2023/12/7,24,SC1,2741
2023/12/8,1,SC1,2715
2023/12/8,2,SC1,2708
2023/12/8,3,SC1,2687
2023/12/8,4,SC1,2661
2023/12/8,5,SC1,2521
2023/12/8,6,SC1,1933
2023/12/8,7,SC1,340
2023/12/8,8,SC1,1145
2023/12/8,9,SC1,1774
2023/12/8,10,SC1,1507
2023/12/8,11,SC1,1365
2023/12/8,12,SC1,1612
2023/12/8,13,SC1,2098
2023/12/8,14,SC1,1886
2023/12/8,15,SC1,356
2023/12/8,16,SC1,615
2023/12/8,17,SC1,956
2023/12/8,18,SC1,976
2023/12/8,19,SC1,1102
2023/12/8,20,SC1,1711
2023/12/8,21,SC1,2367
2023/12/8,22,SC1,2366
2023/12/8,23,SC1,2620
2023/12/8,24,SC1,2695
2023/12/9,1,SC1,2615
2023/12/9,2,SC1,2608
2023/12/9,3,SC1,2588
2023/12/9,4,SC1,2563
2023/12/9,5,SC1,2429
2023/12/9,6,SC1,1862
2023/12/9,7,SC1,327
2023/12/9,8,SC1,1103
2023/12/9,9,SC1,1709
2023/12/9,10,SC1,1452
2023/12/9,11,SC1,1314
2023/12/9,12,SC1,1553
2023/12/9,13,SC1,2021
2023/12/9,14,SC1,1817
2023/12/9,15,SC1,343
2023/12/9,16,SC1,592
2023/12/9,17,SC1,921
2023/12/9,18,SC1,940
2023/12/9,19,SC1,1062
2023/12/9,20,SC1,1648
2023/12/9,21,SC1,2280
2023/12/9,22,SC1,2279
2023/12/9,23,SC1,2523
2023/12/9,24,SC1,2596
2023/12/10,1,SC1,2582
2023/12/10,2,SC1,2576
2023/12/10,3,SC1,2556
2023/12/10,4,SC1,2531
2023/12/10,5,SC1,2398
2023/12/10,6,SC1,1839
2023/12/10,7,SC1,323
2023/12/10,8,SC1,1089
2023/12/10,9,SC1,1688
2023/12/10,10,SC1,1434
2023/12/10,11,SC1,1298
2023/12/10,12,SC1,1533
2023/12/10,13,SC1,1995
2023/12/10,14,SC1,1794
2023/12/10,15,SC1,339
2023/12/10,16,SC1,585
2023/12/10,17,SC1,909
2023/12/10,18,SC1,929
2023/12/10,19,SC1,1048
2023/12/10,20,SC1,1628
2023/12/10,21,SC1,2252
2023/12/10,22,SC1,2251
2023/12/10,23,SC1,2492
2023/12/10,24,SC1,2564
2023/12/11,1,SC1,3156
2023/12/11,2,SC1,3148
2023/12/11,3,SC1,3124
2023/12/11,4,SC1,3094
2023/12/11,5,SC1,2932
2023/12/11,6,SC1,2247
2023/12/11,7,SC1,395
2023/12/11,8,SC1,1331
2023/12/11,9,SC1,2063
2023/12/11,10,SC1,1752
2023/12/11,11,SC1,1587
2023/12/11,12,SC1,1874
2023/12/11,13,SC1,2439
2023/12/11,14,SC1,2193
2023/12/11,15,SC1,414
2023/12/11,16,SC1,715
2023/12/11,17,SC1,1112
2023/12/11,18,SC1,1135
2023/12/11,19,SC1,1281
2023/12/11,20,SC1,1990
2023/12/11,21,SC1,2753
2023/12/11,22,SC1,2751
2023/12/11,23,SC1,3046
2023/12/11,24,SC1,3134
2023/12/12,1,SC1,2473
2023/12/12,2,SC1,2466
2023/12/12,3,SC1,2447
2023/12/12,4,SC1,2424
2023/12/12,5,SC1,2297
2023/12/12,6,SC1,1761
2023/12/12,7,SC1,309
2023/12/12,8,SC1,1043
2023/12/12,9,SC1,1616
2023/12/12,10,SC1,1373
2023/12/12,11,SC1,1243
