分拣中心,日期,班次,正式工,临时工
'SC1',2023/12/1,'0-8',1,157
'SC1',2023/12/1,'5-13',7,34
'SC1',2023/12/1,'8-16',2,58
'SC1',2023/12/1,'12-20',4,45
'SC1',2023/12/1,'14-22',2,1
'SC1',2023/12/1,'16-24',22,130
'SC10',2023/12/1,'0-8',8,177
'SC10',2023/12/1,'5-13',1,27
'SC10',2023/12/1,'8-16',16,23
'SC10',2023/12/1,'12-20',2,15
'SC10',2023/12/1,'14-22',1,19
'SC10',2023/12/1,'16-24',32,200
'SC12',2023/12/1,'0-8',4,9
'SC12',2023/12/1,'5-13',3,20
'SC12',2023/12/1,'8-16',1,20
'SC12',2023/12/1,'12-20',1,15
'SC12',2023/12/1,'14-22',2,3
'SC12',2023/12/1,'16-24',2,6
'SC14',2023/12/1,'0-8',1,1
'SC14',2023/12/1,'5-13',1,1
'SC14',2023/12/1,'8-16',1,5
'SC14',2023/12/1,'12-20',2,1
'SC14',2023/12/1,'14-22',1,2
'SC14',2023/12/1,'16-24',1,3
'SC15',2023/12/1,'0-8',2,18
'SC15',2023/12/1,'5-13',1,18
'SC15',2023/12/1,'8-16',4,5
'SC15',2023/12/1,'12-20',4,5
'SC15',2023/12/1,'14-22',1,2
'SC15',2023/12/1,'16-24',1,23
'SC16',2023/12/1,'0-8',2,1
'SC16',2023/12/1,'5-13',1,1
'SC16',2023/12/1,'8-16',1,1
'SC16',2023/12/1,'12-20',1,2
'SC16',2023/12/1,'14-22',2,1
'SC16',2023/12/1,'16-24',1,2
'SC17',2023/12/1,'0-8',13,59
'SC17',2023/12/1,'5-13',4,16
'SC17',2023/12/1,'8-16',1,14
'SC17',2023/12/1,'12-20',3,1
'SC17',2023/12/1,'14-22',6,8
'SC17',2023/12/1,'16-24',13,92
'SC18',2023/12/1,'0-8',1,12
'SC18',2023/12/1,'5-13',1,19
'SC18',2023/12/1,'8-16',3,3
'SC18',2023/12/1,'12-20',1,17
'SC18',2023/12/1,'14-22',2,4
'SC18',2023/12/1,'16-24',1,68
'SC19',2023/12/1,'0-8',4,4
'SC19',2023/12/1,'5-13',1,1
'SC19',2023/12/1,'8-16',1,8
'SC19',2023/12/1,'12-20',1,6
'SC19',2023/12/1,'14-22',3,1
'SC19',2023/12/1,'16-24',1,15
'SC2',2023/12/1,'0-8',6,3
'SC2',2023/12/1,'5-13',3,1
'SC2',2023/12/1,'8-16',3,16
'SC2',2023/12/1,'12-20',1,6
'SC2',2023/12/1,'14-22',3,1
'SC2',2023/12/1,'16-24',6,22
'SC20',2023/12/1,'0-8',1,1
'SC20',2023/12/1,'5-13',1,1
'SC20',2023/12/1,'8-16',1,1
'SC20',2023/12/1,'12-20',1,1
'SC20',2023/12/1,'14-22',1,1
'SC20',2023/12/1,'16-24',1,1
'SC21',2023/12/1,'0-8',2,8
'SC21',2023/12/1,'5-13',1,2
'SC21',2023/12/1,'8-16',4,9
'SC21',2023/12/1,'12-20',3,1
'SC21',2023/12/1,'14-22',1,1
'SC21',2023/12/1,'16-24',1,17
'SC22',2023/12/1,'0-8',2,24
'SC22',2023/12/1,'5-13',1,1
'SC22',2023/12/1,'8-16',5,26
'SC22',2023/12/1,'12-20',8,1
'SC22',2023/12/1,'14-22',5,1
'SC22',2023/12/1,'16-24',8,29
'SC23',2023/12/1,'0-8',1,1
'SC23',2023/12/1,'5-13',1,4
'SC23',2023/12/1,'8-16',7,6
'SC23',2023/12/1,'12-20',2,5
'SC23',2023/12/1,'14-22',1,1
'SC23',2023/12/1,'16-24',3,15
'SC24',2023/12/1,'0-8',5,4
'SC24',2023/12/1,'5-13',1,18
'SC24',2023/12/1,'8-16',5,24
'SC24',2023/12/1,'12-20',2,13
'SC24',2023/12/1,'14-22',2,1
'SC24',2023/12/1,'16-24',5,14
'SC25',2023/12/1,'0-8',13,231
'SC25',2023/12/1,'5-13',1,1
'SC25',2023/12/1,'8-16',1,47
'SC25',2023/12/1,'12-20',7,64
'SC25',2023/12/1,'14-22',9,1
'SC25',2023/12/1,'16-24',16,318
'SC26',2023/12/1,'0-8',4,2
'SC26',2023/12/1,'5-13',6,10
'SC26',2023/12/1,'8-16',4,11
'SC26',2023/12/1,'12-20',5,8
'SC26',2023/12/1,'14-22',2,1
'SC26',2023/12/1,'16-24',5,1
'SC27',2023/12/1,'0-8',10,1
'SC27',2023/12/1,'5-13',2,6
'SC27',2023/12/1,'8-16',1,24
'SC27',2023/12/1,'12-20',6,1
'SC27',2023/12/1,'14-22',1,1
'SC27',2023/12/1,'16-24',7,35
'SC28',2023/12/1,'0-8',1,2
'SC28',2023/12/1,'5-13',1,1
'SC28',2023/12/1,'8-16',1,3
'SC28',2023/12/1,'12-20',1,1
'SC28',2023/12/1,'14-22',1,1
'SC28',2023/12/1,'16-24',1,4
'SC29',2023/12/1,'0-8',1,13
'SC29',2023/12/1,'5-13',2,1
'SC29',2023/12/1,'8-16',1,24
'SC29',2023/12/1,'12-20',1,3
'SC29',2023/12/1,'14-22',1,1
'SC29',2023/12/1,'16-24',3,38
'SC3',2023/12/1,'0-8',2,155
'SC3',2023/12/1,'5-13',1,35
'SC3',2023/12/1,'8-16',5,25
'SC3',2023/12/1,'12-20',7,1
'SC3',2023/12/1,'14-22',11,11
'SC3',2023/12/1,'16-24',4,64
'SC30',2023/12/1,'0-8',1,6
'SC30',2023/12/1,'5-13',2,1
